Estimate	Std. Error	t value	p_value	resp	variables	type
0.13766735600019908	0.04691313411176347	2.934516284335797	0.00404900947495584	alg_mag_diversity	sn_sp_dist_m	specialist
1.010562634295748	0.47071518379741695	2.1468664472286636	0.0340410827589068	alg_mag_rich	sn_sp_dist_m	specialist
0.00155028592980315	4.109268284394591e-4	3.772656888065785	2.689210498687481e-4	ammonia_oxidation	sn_sp_dist_m	specialist
0.00235845998265133	0.00107186162944887	2.2003399672623742	0.02975053581771593	assimilatory_nitrate_reduction	gl_cov_percent	specialist
0.00223343246707283	4.399047423529534e-4	5.077082040822524	1.4821567453032758e-6	ass_diss_sulfate_reduction	conductivity_u_s_cm_1	specialist
0.01546494424931028	0.0058351139731909	2.6503242816443837	0.00917186016077431	autotrophy	gl_cov_percent	specialist
0.00169817460010412	7.86826487725944e-4	2.15825804874989	0.03302549645812638	biofilm_formation_pseudomonas_aeruginosa	chla_ug_g_1	specialist
0.04711145484974676	0.01741212869481587	2.705668886066371	0.00786094026763235	biofilm_formation_vibrio_cholerae	ph_p_h	specialist
0.00105025892696813	3.084434301748711e-4	3.405029331870318	9.000090620354289e-4	biotin_biosynthesis	conductivity_u_s_cm_1	specialist
-3.876726610256219e-4	9.373062447160791e-5	-4.136029853754494	6.821178197458194e-5	biotin_tranport	conductivity_u_s_cm_1	specialist
-2.1539104037643624e-4	7.3543191390553e-5	-2.9287692892275587	0.00411708259963974	biotin_tranport	gl_sa_km2	specialist
2.6950056918409086e-4	1.1574470572215797e-4	2.328405152552029	0.02166930746833783	biotin_tranport	n6_no2_ug_l_1	specialist
0.00752372479445146	0.0034690417312041	2.168819339005181	0.0322412978083058	chemotaxis	gl_cov_percent	specialist
0.00254393817795884	8.092060896602326e-4	3.1437457162822176	0.00214261047857457	chemotaxis	chla_ug_g_1	specialist
7.155858427316599e-4	1.586273695844767e-4	4.5111120773554525	1.565085301688893e-5	coenzyme_m_biosynthesis	chla_ug_g_1	specialist
8.386384947676434e-4	4.200327044158544e-4	1.9966028500898525	0.04830222504832646	denitrification	water_temp_c	specialist
0.00269300577161636	9.777052664657246e-4	2.7544147137012196	0.00686277539946993	dissimilatory_nitrite_reduction	gl_cov_percent	specialist
0.00117599876930095	4.814111156665538e-4	2.4428159862339007	0.01613466000801798	dissimilatory_nitrite_reduction	n6_no2_ug_l_1	specialist
0.00329470542126048	6.45622843518577e-4	5.103142576716594	1.3306443835754322e-6	dissimilatory_sulfate_reduction	conductivity_u_s_cm_1	specialist
0.00131787753471322	4.98261768228049e-4	2.64495014217114	0.0093103717337333	dissimilatory_sulfate_reduction	turb_ntu	specialist
4.313389021671344e-4	2.062440975673417e-4	2.0913999831015575	0.03873645454390422	dmsp	gl_sa_km2	specialist
0.07785910750524701	0.03248406727539404	2.3968398675317224	0.01816879456276553	e_mag_diversity	sn_sp_dist_m	specialist
4.779033420631293e-4	1.857835173968084e-4	2.5723667457667543	0.01141578321095054	formaldehyde_assimilation	chla_ug_g_1	specialist
4.00055125540695e-4	7.203629663315941e-5	5.553521547310408	1.8911459623280235e-7	h2_oxidation	chla_ug_g_1	specialist
6.202349259127989e-4	2.233079487368887e-4	2.7774870058189784	0.00641868264992599	h2_oxidation	n4_nh4_ug_l_1	specialist
0.03493800483863935	0.01330504181664296	2.6259222120546983	0.00980174973309602	heterotrophy_aerobic_respiration	gl_cov_percent	specialist
0.0010496458111586	3.3868941338055763e-4	3.0991397123452473	0.00240991153774009	heterotrophy_fermentation	conductivity_u_s_cm_1	specialist
5.702072207931646e-4	2.538775148597316e-4	2.2459933921608077	0.0265039693668446	heterotrophy_fermentation	chla_ug_g_1	specialist
0.00339305282816754	0.00147369202240936	2.3024164999008243	0.02311986579462115	heterotrophy	chla_ug_g_1	specialist
1.352873050307433e-4	4.166523615059898e-5	3.247006798227362	0.0015360236367132	methane_oxidation	n4_nh4_ug_l_1	specialist
0.01226680570215385	0.00284136828358762	4.317217790108253	3.3509973122092646e-5	mixotrophy_autotrophy_phototrophy	chla_ug_g_1	specialist
0.01570589313749087	0.00523112938144314	3.0023904958661127	0.00330596360887612	mixotrophy_heterotrophy_autotrophy	sn_sp_dist_m	specialist
0.0080933228831554	0.00174068704282834	4.649499125359739	9.428559752232104e-6	mixotrophy_heterotrophy_phototrophy	n3_srp_ug_l_1	specialist
0.06021807790621403	0.02728947210411318	2.206641362517882	0.02923269175422933	mixotrophy_other	ph_p_h	specialist
0.00523426677198023	0.00212749472780736	2.4602960014734183	0.0152988273775892	mixotrophy_other	turb_ntu	specialist
2.8930475702731637e-4	1.2815311295227591e-4	2.2574930125579793	0.02580797274538206	nitrification	turb_ntu	specialist
3.084269354548842e-4	9.51646871947644e-5	3.2409809199882784	0.00154656421249628	nitrification	chla_ug_g_1	specialist
2.9826377562033505e-4	8.587733235469677e-5	3.4731374093972134	7.157580372057606e-4	nitrogen_fixation	chla_ug_g_1	specialist
0.0040943650266168	0.00188610952523407	2.170799188402738	0.03217816242338227	nit_denitr_dissimil_nitrate_red	conductivity_u_s_cm_1	specialist
0.05703970317983999	0.01879379433275579	3.0350285934770076	0.00295849705703533	p_mag_diversity	sn_sp_dist_m	specialist
12.428698377556524	3.6677982946493537	3.388599202875393	9.637806134158816e-4	p_mag_rich	chla_ug_g_1	specialist
4.585088987156785e-5	1.4776968407455684e-5	3.102861737759004	0.00243648559944018	quorum_sensing	chla_ug_g_1	specialist
0.00683113006639873	0.00203203611768086	3.361716854814079	0.00106485527935291	reductive_citrate_cycle	conductivity_u_s_cm_1	specialist
0.00398442189913175	0.00107103646008188	3.7201552399319047	3.1480243822804867e-4	reductive_citrate_cycle	chla_ug_g_1	specialist
0.01539072169619929	0.00519719143696117	2.961353623948542	0.00373387132395901	sulfite_oxidation	ph_p_h	specialist
3.323712946448918e-4	1.1806975781516192e-4	2.8150417244458037	0.00577131498821405	thiamine_transporter	sn_sp_dist_m	specialist
0.073923702613015	0.0193997043378262	3.810558208811257	2.3571253005645983e-4	thiosulfate_oxidation_sox	ph_p_h	specialist
-0.00460853286443338	0.00187795162258936	-2.454021077539276	0.01579724619343051	thiosulfate_oxidation_sox	conductivity_u_s_cm_1	specialist
-0.00527329858655812	9.371458080631508e-4	-5.62697772447676	1.577329391288027e-7	thiosulfate_oxidation_sox	chla_ug_g_1	specialist
0.00461193822673314	0.0010635878047637	4.336208262333151	3.058487968190644e-5	urea_metabolism	turb_ntu	specialist
0.00315231355730417	0.00100632708881393	3.1324939896227164	0.0022178919110227	vitamin_b12_transport	ph_p_h	specialist
0.05638167702056318	0.02196292461260053	2.567129743195311	0.01151092701132291	v_mag_diversity	sn_sp_dist_m	specialist
0.1211835124090922	0.03252642425013449	3.725694268671144	3.0097510341721293e-4	v_mag_diversity	n5_no3_ug_l_1	specialist
35.25300623589516	15.703985461230635	2.244844553818924	0.02677418721358097	v_mag_rich	gl_sa_km2	specialist
27.877367140009436	11.74584286077288	2.3733815844846995	0.01935696078893052	v_mag_rich	chla_ug_g_1	specialist
68.76015781749456	21.27119776985679	3.2325475303009923	0.00161859689036236	v_mag_rich	n5_no3_ug_l_1	specialist
0.00359493921793001	0.00155084621053117	2.318050102916865	0.02221017902993997	x3_hp_4_hb_pathway	chla_ug_g_1	specialist
0.00121748648248607	3.812917073603229e-4	3.1930578582857767	0.00181914606152543	x3_hp_bi_cycle	gl_sa_km2	specialist
0.00120329548570469	5.125535975578026e-4	2.347648112193757	0.02061328573940081	x3_hp_bi_cycle	n3_srp_ug_l_1	specialist
0.13766735600019908	0.04691313411176347	2.934516284335797	0.00404900947495584	alg_mag_diversity	sn_sp_dist_m	generalist
1.010562634295748	0.47071518379741695	2.1468664472286636	0.0340410827589068	alg_mag_rich	sn_sp_dist_m	generalist
4.977835324604358e-4	1.1907558063390677e-4	4.180399791547957	5.504144334297501e-5	ammonia_oxidation	sn_sp_dist_m	generalist
6.236293815087852e-4	1.4598638340453e-4	4.271832529618094	3.8631507206440195e-5	ammonia_oxidation	n5_no3_ug_l_1	generalist
3.504583078682241e-4	1.6350560479385382e-4	2.143402413085951	0.03417440354714531	assimilatory_nitrate_reduction	gl_sa_km2	generalist
7.611085455499864e-4	3.800860516202257e-4	2.002463763943831	0.04757415159350405	ass_diss_sulfate_reduction	conductivity_u_s_cm_1	generalist
7.381319250072495e-4	2.923180627546965e-4	2.525098579442438	0.01292073026966982	ass_diss_sulfate_reduction	gl_sa_km2	generalist
0.00247859034581726	5.527521621907066e-4	4.4840898242603675	1.7243406108132712e-5	autotrophy	conductivity_u_s_cm_1	generalist
