C	340R_contig_574784	455367	Viruses; Varidnaviria; Bamfordvirae; Nucleocytoviricota; Megaviricetes; Imitervirales; Allomimiviridae; Heliosvirus; Heliosvirus raunefjordenense; Pyramimonas orientalis virus; 
U	337R_contig_1038810	0	
U	337R_contig_3021780	0	
U	GL98_DN_contig_3690264	0	
U	340R_contig_38050	0	
U	340R_contig_276868	0	
U	340R_contig_503072	0	
U	340R_contig_602147	0	
U	340R_contig_788929	0	
U	340R_contig_1048553	0	
U	340R_contig_1073355	0	
U	340R_contig_1178516	0	
U	340R_contig_1832106	0	
U	340R_contig_1950933	0	
U	340R_contig_2353959	0	
U	340R_contig_2476072	0	
U	340R_contig_2485585	0	
U	340R_contig_2614922	0	
C	340R_contig_2615307	181084	Viruses; Varidnaviria; Bamfordvirae; Nucleocytoviricota; Megaviricetes; Algavirales; Phycodnaviridae; Prasinovirus; 
C	340R_contig_2663175	212035	Viruses; Varidnaviria; Bamfordvirae; Nucleocytoviricota; Megaviricetes; Imitervirales; Mimiviridae; Mimivirus; Mimivirus bradfordmassiliense; Acanthamoeba polyphaga mimivirus; 
C	340R_contig_2675028	2811091	Viruses; Varidnaviria; Bamfordvirae; Nucleocytoviricota; Megaviricetes; Imitervirales; Mimiviridae; unclassified Mimiviridae; Cotonvirus japonicus; 
C	340R_contig_2706887	181083	Viruses; Varidnaviria; Bamfordvirae; Nucleocytoviricota; Megaviricetes; Algavirales; Phycodnaviridae; Chlorovirus; 
U	340R_contig_2869852	0	
U	340R_contig_2914644	0	
U	340R_contig_2978349	0	
U	GL140_1_contig_3837381	0	
U	GL122_DN_contig_282514	0	
U	GL122_DN_contig_602257	0	
U	338R_contig_1662631	0	
U	338R_contig_88083	0	
U	338R_contig_98420	0	
C	338R_contig_1154294	373996	Viruses; Varidnaviria; Bamfordvirae; Nucleocytoviricota; Megaviricetes; Algavirales; Phycodnaviridae; Prasinovirus; Micromonas pusilla virus SP1; 
U	338R_contig_1507184	0	
U	338R_contig_655595	0	
C	338R_contig_2889639	1586713	Viruses; Varidnaviria; Bamfordvirae; Nucleocytoviricota; Megaviricetes; Algavirales; Phycodnaviridae; Prasinovirus; unclassified Prasinovirus; Yellowstone lake phycodnavirus 1; 
U	338R_contig_3001162	0	
C	GL85_DN_contig_10820	212035	Viruses; Varidnaviria; Bamfordvirae; Nucleocytoviricota; Megaviricetes; Imitervirales; Mimiviridae; Mimivirus; Mimivirus bradfordmassiliense; Acanthamoeba polyphaga mimivirus; 
U	GL85_DN_contig_66925	0	
U	GL85_DN_contig_85232	0	
U	GL85_DN_contig_89846	0	
C	GL85_DN_contig_98720	1980937	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Emdodecavirus; 
U	GL85_DN_contig_130016	0	
U	GL85_DN_contig_141676	0	
